,ind_type,geo\time,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018
520,"Individuals, 55 TO 74 years old",AT,16,19,24,28,31,42,45
521,"Individuals, 55 TO 74 years old",BA,NA,NA,NA,NA,NA,NA,29
522,"Individuals, 55 TO 74 years old",BE,21,24,34,42,45,52,53
523,"Individuals, 55 TO 74 years old",BG,3 ,4 ,5 ,10,13,21,23
524,"Individuals, 55 TO 74 years old",CH,NA,NA,29,NA,NA,50,NA
525,"Individuals, 55 TO 74 years old",CY,4 ,4 ,8 ,20,21,33,40
526,"Individuals, 55 TO 74 years old",CZ,NA,6 ,11,13,NA,24,29
527,"Individuals, 55 TO 74 years old",DE,11,18,26,33,38,49,55
528,"Individuals, 55 TO 74 years old",DK,34,38,51,55,62,64,76
529,"Individuals, 55 TO 74 years old",EA,12,17,23,28,31,39,44
530,"Individuals, 55 TO 74 years old",EE,10,20,23,24,24,31,35
531,"Individuals, 55 TO 74 years old",EL,3 ,5 ,10,11,12,18,22
532,"Individuals, 55 TO 74 years old",ES,10,16,26,32,39,49,55
533,"Individuals, 55 TO 74 years old",EU27,14,18,24,29,32,39,44
534,"Individuals, 55 TO 74 years old",EU28,14,18,24,29,32,39,43
535,"Individuals, 55 TO 74 years old",FI,26,32,40,45,47,55,56
536,"Individuals, 55 TO 74 years old",FR,19,27,31,34,33,41,50
537,"Individuals, 55 TO 74 years old",HR,7 ,10,10,15,16,19,29
538,"Individuals, 55 TO 74 years old",HU,6 ,9 ,14,18,25,27,27
539,"Individuals, 55 TO 74 years old",IE,22,27,30,35,36,49,37
540,"Individuals, 55 TO 74 years old",IS,29,34,39,NA,NA,61,66
541,"Individuals, 55 TO 74 years old",IT,5 ,4 ,6 ,7 ,8 ,11,18
542,"Individuals, 55 TO 74 years old",LT,1 ,2 ,5 ,7 ,10,18,27
543,"Individuals, 55 TO 74 years old",LU,40,48,48,59,63,68,67
544,"Individuals, 55 TO 74 years old",LV,5 ,8 ,8 ,12,14,22,23
545,"Individuals, 55 TO 74 years old",ME,10,NA,NA,NA,NA,33,30
546,"Individuals, 55 TO 74 years old",MK,4 ,5 ,7 ,17,22,28,59
547,"Individuals, 55 TO 74 years old",MT,11,14,21,29,27,35,31
548,"Individuals, 55 TO 74 years old",NL,25,36,47,55,60,72,71
549,"Individuals, 55 TO 74 years old",NO,48,54,50,60,62,71,74
550,"Individuals, 55 TO 74 years old",PL,5 ,8 ,10,16,7 ,11,17
551,"Individuals, 55 TO 74 years old",PT,4 ,4 ,9 ,14,17,24,25
552,"Individuals, 55 TO 74 years old",RO,1 ,4 ,5 ,11,13,20,25
553,"Individuals, 55 TO 74 years old",RS,NA,NA,NA,7 ,NA,18,23
554,"Individuals, 55 TO 74 years old",SE,41,41,54,55,67,72,78
555,"Individuals, 55 TO 74 years old",SI,5 ,10,11,12,16,27,33
556,"Individuals, 55 TO 74 years old",SK,8 ,10,14,15,20,28,22
557,"Individuals, 55 TO 74 years old",TR,1 ,2 ,5 ,7 ,13,19,26
558,"Individuals, 55 TO 74 years old",UK,33,34,45,55,57,61,61
559,"Individuals, 55 TO 74 years old",XK,NA,NA,NA,NA,NA,54,54
